"","Country","Year","GDP","Corporate income tax rate","Taxes_on_income_prof_k_corp_tax_rev_gdp","Taxes_on_income_prof_corp_tax_rev_gdp","Unemployment rate","Unemployment rate men","Unemployment rate women","Gini","Pre_tax_national_income_Top_10%","Net_personal_wealth_Top_10%","Inflation","Interest_Rate","Net_operating_surplus_mix_income","CAPN","CAPN_ICT","CPNK","CPNK_ICT","Wages_LC","Wages_LC_C","Wages_PPP","Growth"
"23","Austria","2000",351116.634,34,1.946,1.946,"3.502089168032259","3.257493562311701","3.816255600486377",28.8,0.3491,0.6079,2.34486285357277,4.8268,48846.289,768843.51,28158.34,1078186.046,28616.961,27932.7427280931,41351.5814678851,51003.6687538745,3.37572223150578
"24","Austria","2001",355565.872,34,2.956,2.956,"3.5617534746358408","3.3816209272614302","3.7894637751079632",NA,0.3425,0.6053,2.65000077279529,3.3389,50717.247,793910.26,29811.61,1103630.709,30479.795,28507.0932772628,41222.1772671204,50844.0596468737,1.26716810574117
"25","Austria","2002",361438.234,34,2.131,2.131,"3.985337473917181","4.0602890568698156","3.8920179454417321",NA,0.3483,0.608,1.81035787764132,3.0945,52476.031,815320.3,30651.53,1124270.088,31682.103,29234.355960236,41846.3094457843,51613.8737572224,1.65155389266381
"26","Austria","2003",364841.07,34,2.091,2.091,"4.2788322516082058","4.3384523730116031","4.2052830086592277",29.5,0.3614,0.6114,1.35555370896445,2.0567,53962.543,845692.96,31081.6,1147161.59,32634.069,29751.2247679754,41942.5206547775,51732.5421239379,0.941470956832976
"27","Austria","2004",374819.912,34,2.178,2.178,"5.4869743892817606","5.1417504845031843","5.9043964580070449",29.8,0.3414,0.6094,2.06120618032866,2.0535,59085.826,881952.57,31650.47,1169479.827,33553.414,30833.4009319332,42738.7850100434,52714.6666757652,2.73512025386835
"28","Austria","2005",383231.116,25,2.143,2.143,"5.6274671355925943","5.4356542402902388","5.8571210315017801",28.7,0.3549,0.6139,2.29913785639285,2.2757,63868.344,920843.77,32149.64,1190200.04,34140.33,31753.0347779809,42969.6169510546,52999.3782983738,2.24406541133812
"29","Austria","2006",396468.079,25,2.1,2.1,"5.2427963909994544","4.941204501744406","5.6014735460881324",29.6,0.3748,0.6168,1.44154851119019,3.5011,69573.428,966113.71,32831.46,1210891.863,34656.338,32903.4836129942,43611.6370125797,53791.255595178,3.45404181637486
"30","Austria","2007",411246.09,25,2.332,2.332,"4.8578637484051601","4.4860077550717854","5.2993366760563019",30.6,0.353,0.6132,2.16855528800755,3.8791,75469.002,1023542.79,33967.69,1233999.753,35160.896,33915.4818079907,43861.7052973123,54099.6936163515,3.72741508907203
"31","Austria","2008",417252.026,25,2.367,2.367,"4.1281241244647031","3.888527783861901","4.4097627912368926",30.4,0.3553,0.6153,3.21595033239883,2.4864,74635.152,1077312.04,35290.81,1257081.022,35954.042,35208.7127488382,44598.8964933118,55008.95643616,1.46042385472893
"32","Austria","2009",401544.247,25,1.626,1.626,"5.3013547333006077","5.4870248033143767","5.0861797711829544",31.5,0.3424,0.6113,0.506308827696486,0.3546,65929.098,1115736.76,35798.96,1273372.321,36162.987,35925.6828373451,45357.8816123149,55945.1002116724,-3.76457824557095
"33","Austria","2010",408920.991,25,1.865,1.865,"4.8200085690288974","4.9845934353567527","4.6301202189631869",30.3,0.3472,0.6127,1.81353438995065,0.4981,68411.741,1156202.43,36111.62,1287033.522,36694.446,36388.4767303661,45153.6953449549,55693.2537677195,1.83709368397451
"34","Austria","2011",420872.923,25,1.993,1.993,"4.5637612240795473","4.546192988652388","4.5838520008065569",30.8,0.3386,0.6088,3.28657914875376,0.627,72904.743,1206068.39,37341.27,1304507.487,38142.405,37130.1635601381,44661.5182110724,55086.1950141318,2.92279737725668
"35","Austria","2012",423736.734,25,2.002,2.002,"4.8650756265108068","4.9341594101457353","4.7865484415462038",30.5,0.3189,0.6078,2.48567562177017,0.0734,71380.828,1253597.16,38466,1321605.149,39065.81,38218.3939419199,44915.1584416289,55399.0387275458,0.680445532011568
"36","Austria","2013",423844.807,25,2.15,2.15,"5.3347700681555876","5.3704242335438366","5.2943461221216772",30.8,0.3212,0.6063,2.00015616900603,0.1686,69666.087,1296183.34,39540.12,1338817.514,40201.558,39040.1230004397,44935.9413635327,55424.6726991352,0.0255047512590624
"37","Austria","2014",426647.577,25,2.105,2.105,"5.6196761606599237","5.8295524869894502","5.3829298324301691",30.5,0.3408,0.6043,1.60581182954471,-0.0301,71973.813,1333763.79,40375.04,1354694.594,40870.209,39975.8128533297,45101.5685061242,55628.9597328474,0.661272700222093
"38","Austria","2015",430975.924,25,2.225,2.225,"5.7226554017583018","6.0872009711888948","5.3099595587043398",30.5,0.3331,0.6072,0.896563335260302,-0.199,74350.043,1371350.69,42308.1,1371350.69,42308.1,40851.0000056255,45430.3930330266,56034.5368994984,1.01450171835852
"39","Austria","2016",439549.919,25,2.346,2.346,"6.0133397340364754","6.4265673297147083","5.5440081628349613",30.8,0.3417,0.6073,0.891591752655335,-0.3504,78070.874,1416028.04,44309.03,1389983.47,43955.01,41839.0077051306,45860.5587326566,56565.1098080641,1.98943711760567
"40","Austria","2017",449477.472,25,2.47,2.47,"5.4989345955964586","5.9097836723230044","5.0329381026687079",29.7,0.3338,0.6124,2.08126911385587,-0.3423,81475.005,1470814.28,45747.11,1410191.653,45339.965,42564.1082150145,45850.8246488221,56553.1036411922,2.25857236479209
"41","Austria","2018",460379.033,25,2.709,2.709,"4.8482217860842507","5.0211628651891758","4.6512613404514092",30.8,0.3343,0.6142,1.99837981429546,-0.3605,84267.922,1533251.28,47282.01,1432032.7,46987.967,43575.6416749341,46001.5109608531,56738.9624275253,2.42538540396525
"42","Austria","2019",467364.772,25,2.715,2.715,"4.4865891294738693","4.607398835074406","4.3493530028273124",30.2,0.3311,0.6142,1.53089564152645,-0.4562,NA,NA,NA,NA,NA,44675.8340054809,46360.7508559335,57182.0543713264,1.51738860792125
"43","Austria","2020",437201.197,25,NA,NA,"5.3625231637473556","5.4818454652481963","5.2275895803717134",NA,0.346,0.6133,1.38191063351859,-0.4725,NA,NA,NA,NA,NA,45354.2956646426,46433.3645630543,57271.6172207632,-6.45396846470063
"44","Austria","2021",457123.804,25,NA,NA,"6.1811646136996803","6.2394770664158123","6.1149170673802304",NA,0.3445,0.6185,2.76666666666665,-0.4922,NA,NA,NA,NA,NA,47177.2482711128,47177.2482711128,58189.1346866111,4.55685097312303
"45","Belgium","2000",412018.586,39,3.146,3.146,"7.009037939093071","5.7547693104289408","8.6770570039463522",33.1,0.326,0.5261,2.54451776190906,4.8268,55487.3,728800,18055,977818.2,15359,31015.7220412343,44740.3920656145,54577.6273525136,3.71667939517508
"46","Belgium","2001",416549.22,39,3.073,3.073,"6.6095720400085414","5.9374463362609227","7.5171241311711823",NA,0.3218,0.5254,2.46925823086078,3.3389,54263.8,755003,19571.3,998936.7,16825.1,31832.9668339589,44876.7444915406,54743.9600900518,1.09961884098111
"47","Belgium","2002",423659.234,39,2.979,2.979,"7.5139402819362777","6.6684968008199563","8.6326035166343829",NA,0.3157,0.5249,1.64521436175359,3.0945,54168.6,769903,19481.1,1012872.6,17442.6,32995.242721992,46035.2935043945,56157.2435543636,1.70688448294298
"48","Belgium","2003",428056.743,33,2.812,2.812,"8.1742835806734746","7.6495380609580446","8.8585996134096199",28.1,0.3154,0.5249,1.58896399970379,2.0567,56003.4,801107,19458,1024836.5,18133.5,33687.8092076228,46309.709090052,56491.9959086071,1.03798256879255
"49","Belgium","2004",443343.524,33,3.027,3.027,"8.3916980897199629","7.5023793633046312","9.5388919159405887",30.5,0.3221,0.5263,2.09728311239314,2.0535,62805.3,838159,18435.7,1032168.4,18707.4,34349.0454703934,46066.8055939734,56195.6843234927,3.57120434381289
"50","Belgium","2005",453636.795,33,3.164,3.164,"8.4402123621287224","7.5967479117603567","9.5067949648142989",29.3,0.3197,0.526,2.78143263670025,2.2757,67904.1,876591,19323.4,1060637.3,19682.3,34994.93831638,45629.490720233,55662.2154129004,2.32173708259693
"51","Belgium","2006",465215.194,33,3.494,3.494,"8.2458800183004559","7.3963171882267629","9.3086720184126701",28.1,0.3241,0.5278,1.79120770070454,3.5011,71012.3,931492,20043,1078867.6,20561.2,36204.3544324623,45939.4711879526,56040.3524312115,2.55235005793567
"52","Belgium","2007",482320.604,33,3.419,3.419,"7.4579336618551899","6.6617405914249073","8.4434457813264618",29.2,0.3334,0.5293,1.8230563002681,3.8791,76402,983460,20885.4,1100105.6,21547.6,37106.2778481701,45854.2396677665,55936.3807418131,3.6768811983385
"53","Belgium","2008",484476.233,33,3.295,3.295,"6.9755961133275797","6.4678755909146473","7.5973351592817133",28.4,0.3172,0.527,4.48944420508401,2.4864,70594.6,1050055,22227.5,1128052.2,22387.2,38447.6453299448,46052.1126848123,56177.7608301146,0.446928657437163
