"Variables ->","LGDP_","PIE_","GROWTH_","UNR_","Y_","GROWTH_BAR_","UNR_BAR_","PIE_CONS1_","GROWTH_CONS1_","GROWTH_CONS2_","GROWTH_CONS3_","GROWTH_CONS4_","GROWTH_CONS5_","LGDP","LGDP_BAR","Y","G","PIE","GROWTH","GROWTH_BAR","UNR","UNR_BAR","UNR_GAP","G_UNR_BAR","PIE_E","GROWTH_E","PIE_CONS1","GROWTH_CONS1","GROWTH_CONS2","GROWTH_CONS3","GROWTH_CONS4","GROWTH_CONS5","RES_LGDP_BAR","RES_G","RES_Y","RES_PIE","RES_UNR_GAP","RES_UNR_BAR","RES_G_UNR_BAR","RES_PIE_CONS1","RES_GROWTH_CONS1","RES_GROWTH_CONS2","RES_GROWTH_CONS3","RES_GROWTH_CONS4","RES_GROWTH_CONS5","beta","lambda","phi","theta","growth_ss","tau1","tau2","tau3","tau4","unr_ss","ttrend","std_RES_LGDP_BAR","std_RES_G","std_RES_Y","std_RES_PIE","std_RES_UNR_GAP","std_RES_UNR_BAR","std_RES_G_UNR_BAR","std_RES_PIE_CONS1","std_RES_GROWTH_CONS1","std_RES_GROWTH_CONS2","std_RES_GROWTH_CONS3","std_RES_GROWTH_CONS4","std_RES_GROWTH_CONS5"
"Comments ->","GDP level (100*log)","Inflation","GDP Growth","Unemployment Rate","Y_","GROWTH_BAR_","UNR_BAR_","1 yr ahead cons. inflation","1 yr ahead cons. growth","2 yr ahead cons. growth","3 yr ahead cons. growth","4 yr ahead cons. growth","5 yr ahead cons. growth","GDP (log)","Potential GDP (log)","Output gap","Growth rate of potential output","Inflation","Growth","Potential Growth","Unemployment rate","NAIRU","Unemployment gap","Growth rate of NAIRU","Model consistent infl. expectation","Model consistent growth expectation","1 yr ahead cons. inflation","1 yr ahead cons. growth","2 yr ahead cons. growth","3 yr ahead cons. growth","4 yr ahead cons. growth","5 yr ahead cons. growth","Shock to level of potential output","Shock to growth rate of potential output","Shock to output gap","Shock to inflation","Shock to unemployment gap","Shock to NAIRU","Shock to growth rate of NAIRU","1 yr ahead cons. infl. shock","1 yr ahead cons. growth shock","2 yr ahead cons. growth shock","3 yr ahead cons. growth shock","4 yr ahead cons. growth shock","5 yr ahead cons. growth shock","","","","","","","","","","","Time trend","","","","","","","","","","","","",""
"Class[Size] ->","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","tseries[50-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","tseries[50-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]"
"1992Y",1.27761937e+03,2.51000000e+01,3.37405853e+00,7.54701349e+00,4.05887259e+00,3.99599318e+00,1.15398088e+01,1.36161914e+01,2.18743414e+00,2.71475415e+00,3.01321768e+00,3.17815855e+00,3.26624854e+00,1.27761937e+03,1.27364071e+03,4.05887259e+00,3.91553622e+00,2.51000000e+01,3.37405853e+00,3.99599318e+00,7.54701349e+00,1.15398088e+01,3.99279527e+00,3.97857510e-01,1.36161914e+01,2.16385306e+00,1.36161914e+01,2.16385306e+00,2.67855833e+00,2.96871210e+00,3.12870027e+00,3.21404043e+00,2.68230686e-03,3.35274479e-01,1.23084428e+00,9.32620288e+00,8.88193824e-01,-3.81876718e-02,1.41586674e-01,0.00000000e+00,0.00000000e+00,7.00649232e-46,7.00649232e-46,7.00649232e-46,7.00649232e-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.00000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1993Y",1.28315350e+03,2.26000000e+01,5.69012069e+00,7.46305636e+00,5.28005070e+00,4.46418604e+00,1.18445660e+01,1.32903211e+01,1.92654875e+00,2.59070743e+00,2.96384388e+00,3.16761302e+00,3.27437063e+00,1.28315350e+03,1.27800812e+03,5.28005070e+00,4.19497405e+00,2.26000000e+01,5.69012069e+00,4.46418604e+00,7.46305636e+00,1.18445660e+01,4.38150959e+00,5.74810475e-01,1.32903211e+01,1.90822576e+00,1.32903211e+01,1.90822576e+00,2.55771718e+00,2.92077103e+00,3.11847905e+00,3.22190532e+00,1.72436882e-01,4.40282653e-01,2.75755110e+00,6.44724807e+00,6.26169403e-01,-1.25998119e-02,2.15204754e-01,0.00000000e+00,0.00000000e+00,3.50324616e-46,0.00000000e+00,7.00649232e-46,3.13547856e-62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.00000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1994Y",1.28826956e+03,2.26000000e+01,5.24919784e+00,7.48822911e+00,5.95037478e+00,4.58330995e+00,1.23036357e+01,1.36338338e+01,1.74239416e+00,2.49097259e+00,2.91250785e+00,3.14335720e+00,3.26479763e+00,1.28826956e+03,1.28248950e+03,5.95037478e+00,4.29162677e+00,2.26000000e+01,5.24919784e+00,4.58330995e+00,7.48822911e+00,1.23036357e+01,4.81540658e+00,7.76962698e-01,1.36338338e+01,1.72738852e+00,1.36338338e+01,1.72738852e+00,2.46045364e+00,2.87090030e+00,3.09496521e+00,3.21263540e+00,1.89752459e-01,3.26061444e-01,2.69202684e+00,6.82926086e+00,6.29885162e-01,6.29427058e-03,2.57417059e-01,0.00000000e+00,0.00000000e+00,1.82421916e-62,-3.50324616e-46,0.00000000e+00,2.74579969e-62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.00000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1995Y",1.29285067e+03,1.95000000e+01,4.68765602e+00,8.20985789e+00,6.14923727e+00,4.49153169e+00,1.28930675e+01,1.25482330e+01,1.58617588e+00,2.38405275e+00,2.83862841e+00,3.09177588e+00,3.22840885e+00,1.29285067e+03,1.28688308e+03,6.14923727e+00,4.18736027e+00,1.95000000e+01,4.68765602e+00,4.49153169e+00,8.20985789e+00,1.28930675e+01,4.68320959e+00,9.77409253e-01,1.25482330e+01,1.57372757e+00,1.25482330e+01,1.57372757e+00,2.35607796e+00,2.79908592e+00,3.04494335e+00,3.17739087e+00,2.06224298e-01,1.48857305e-01,2.49863251e+00,3.58519113e+00,2.69025318e-01,3.67338842e-02,2.75147203e-01,0.00000000e+00,0.00000000e+00,3.50324616e-46,3.50324616e-46,7.00649232e-46,7.00649232e-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.00000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1996Y",1.29678007e+03,2.16000000e+01,4.00762313e+00,1.00811893e+01,6.04947507e+00,4.10546453e+00,1.35464653e+01,1.33015013e+01,1.36542706e+00,2.21017818e+00,2.70322644e+00,2.98717415e+00,3.14806313e+00,1.29678007e+03,1.29090651e+03,6.04947507e+00,3.84927088e+00,2.16000000e+01,4.00762313e+00,4.10546453e+00,1.00811893e+01,1.35464653e+01,3.46527595e+00,1.13152375e+00,1.33015013e+01,1.35618910e+00,1.33015013e+01,1.35618910e+00,2.18610776e+00,2.66733466e+00,2.94342717e+00,3.09952761e+00,1.74157253e-01,-1.10548798e-01,2.29206496e+00,6.93125368e+00,-8.61427011e-01,7.56553327e-02,2.48086968e-01,0.00000000e+00,0.00000000e+00,3.50324616e-46,0.00000000e+00,3.50324616e-46,1.85095763e-62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.00000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1997Y",1.30022400e+03,1.77000000e+01,3.50391824e+00,1.03170028e+01,6.12070974e+00,3.43444012e+00,1.40856872e+01,1.18444065e+01,9.17704536e-01,1.87353508e+00,2.45040475e+00,2.79733611e+00,3.00547171e+00,1.30022400e+03,1.29428329e+03,6.12070974e+00,3.29824908e+00,1.77000000e+01,3.50391824e+00,3.43444012e+00,1.03170028e+01,1.40856872e+01,3.76868442e+00,1.18119985e+00,1.18444065e+01,9.13519214e-01,1.18444065e+01,9.13519214e-01,1.85620059e+00,2.42086394e+00,2.75892534e+00,2.96119243e+00,7.85306416e-02,-4.06436090e-01,2.41564468e+00,2.20303055e+00,-2.02725438e-01,5.48802421e-02,1.58465820e-01,0.00000000e+00,0.00000000e+00,-1.75162308e-46,-3.50324616e-46,-3.50324616e-46,-3.50324616e-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.00000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1998Y",1.30059573e+03,1.67000000e+01,3.72421878e-01,1.29194352e+01,3.83940237e+00,2.57756116e+00,1.45130448e+01,1.02852849e+01,1.28870710e+00,2.01899890e+00,2.47819013e+00,2.76867525e+00,2.95392054e+00,1.30059573e+03,1.29682819e+03,3.83940237e+00,2.63306562e+00,1.67000000e+01,3.72421878e-01,2.57756116e+00,1.29194352e+01,1.45130448e+01,1.59360956e+00,1.15880228e+00,1.02852849e+01,1.28047393e+00,1.02852849e+01,1.28047393e+00,1.99888737e+00,2.44798107e+00,2.73104052e+00,2.91113287e+00,-8.81635493e-02,-6.55798524e-01,2.02172963e-01,4.63747982e+00,-1.42513822e+00,8.34887187e-02,9.11682373e-02,0.00000000e+00,0.00000000e+00,8.50339968e-63,0.00000000e+00,0.00000000e+00,-3.50324616e-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.00000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1999Y",1.29598961e+03,9.20000000e+00,-4.50164262e+00,1.70341345e+01,-2.45192795e+00,1.65749204e+00,1.46843903e+01,4.03058244e+00,3.39545796e+00,3.21700612e+00,3.14576341e+00,3.12997418e+00,3.14083505e+00,1.29598961e+03,1.29847210e+03,-2.45192795e+00,2.04945756e+00,9.20000000e+00,-4.50164262e+00,1.65749204e+00,1.70341345e+01,1.46843903e+01,-2.34974425e+00,1.02023351e+00,4.03058244e+00,3.33908482e+00,4.03058244e+00,3.33908482e+00,3.16634415e+00,3.09729805e+00,3.08198920e+00,3.09251988e+00,-4.05551994e-01,-7.37435031e-01,-4.74360078e+00,3.16811682e+00,-1.65845759e+00,5.96254220e-02,-2.71563673e-02,0.00000000e+00,0.00000000e+00,9.82705199e-63,-1.75162308e-46,3.50324616e-46,1.47915979e-62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.00000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2000Y",1.29695821e+03,8.80000000e+00,9.73299797e-01,1.74344982e+01,-3.16035011e+00,1.71196133e+00,1.45380168e+01,3.48291732e+00,3.63866177e+00,3.35362592e+00,3.22088021e+00,3.16991494e+00,3.16093728e+00,1.29695821e+03,1.30016957e+03,-3.16035011e+00,1.97459278e+00,8.80000000e+00,9.73299797e-01,1.71196133e+00,1.74344982e+01,1.45380168e+01,-2.89648140e+00,8.00668568e-01,3.48291732e+00,3.57402573e+00,3.48291732e+00,3.57402573e+00,3.29861834e+00,3.17009743e+00,3.12071027e+00,3.11200806e+00,-2.77120380e-01,-3.71888000e-01,-1.72148270e+00,6.27346017e+00,-5.97961770e-01,-1.00844944e-03,-1.21475154e-01,0.00000000e+00,0.00000000e+00,1.59158476e-62,-3.50324616e-46,0.00000000e+00,-7.00649232e-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2001Y",1.29988542e+03,7.70000000e+00,2.97047910e+00,1.51306184e+01,-2.28063542e+00,2.04349146e+00,1.41641398e+01,3.55113915e+00,3.44883238e+00,3.26840259e+00,3.19123095e+00,3.16830537e+00,3.17217973e+00,1.29988542e+03,1.30219246e+03,-2.28063542e+00,2.21080455e+00,7.70000000e+00,2.97047910e+00,2.04349146e+00,1.51306184e+01,1.41641398e+01,-9.66478646e-01,5.90838452e-01,3.55113915e+00,3.39069314e+00,3.55113915e+00,3.39069314e+00,3.21612632e+00,3.14136920e+00,3.11915014e+00,3.12290544e+00,-1.87912218e-01,-7.91805599e-02,-3.79717903e-01,4.52459837e+00,1.06946380e+00,-5.07338307e-02,-1.32850280e-01,0.00000000e+00,0.00000000e+00,-3.50324616e-46,-7.00649232e-46,0.00000000e+00,-7.00649232e-46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
